ProjectID,ProjectType,ProjectLocation,ContractorCategory,ConstructionPhase,ProjectBudgetMillion,EstimatedDurationDays,WorkersAssigned,EquipmentUtilization,MaterialDelayDays,SupplierIssues,WeatherDisruptionDays,SafetyIncidents,InspectionFailures,ChangeRequests,CostOverrunPercent,ScheduleVarianceDays,QualityScore,SiteProductivityScore,ProjectDelayed
PRJ_112748,Infrastructure,Urban,Medium,Structural,50.62,1281,150,57.34,7,3,5,0,2,4,5.66,45.54,92.81,61.68,No
PRJ_116175,Commercial,Rural,Large,Planning,122.77,323,431,46.87,5,1,3,1,4,1,0.43,9.25,63.11,81.49,No
PRJ_126344,Commercial,Urban,Large,Foundation,90.19,1369,756,49.73,3,2,4,1,1,2,1.02,12.03,93.51,76.86,Yes
PRJ_129593,Road Construction,Rural,Small,Structural,143.59,1123,333,63.88,5,2,3,0,2,1,0.0,3.4,71.71,74.71,No
PRJ_123910,Residential,Urban,Medium,Planning,178.67,287,106,71.06,11,0,6,1,1,3,5.55,-13.39,59.22,88.44,No
PRJ_100277,Commercial,Urban,Medium,Finishing,63.94,1298,122,68.73,0,4,6,0,2,5,8.86,12.07,86.74,52.89,Yes
PRJ_118688,Commercial,Semi-Urban,Large,Structural,69.99,1482,178,90.57,4,2,3,1,2,3,0.0,19.74,83.86,,Yes
PRJ_124048,Industrial,Urban,Medium,Structural,143.0,599,390,66.17,5,1,7,1,3,2,18.28,6.3,67.54,72.44,No
PRJ_114737,Commercial,Semi-Urban,Medium,Finishing,123.75,518,64,70.2,5,3,4,3,1,4,0.0,4.05,99.97,68.27,No
PRJ_126295,Residential,Urban,Medium,Foundation,110.06,197,251,70.99,8,2,3,4,1,4,15.27,-22.13,87.41,86.92,Yes
PRJ_101496,Industrial,Semi-Urban,Medium,Planning,177.99,1154,545,,8,3,3,1,0,4,4.59,13.89,71.67,61.28,Yes
PRJ_107546,Bridge Construction,Urban,Medium,Foundation,47.62,924,239,88.12,5,2,1,1,2,3,0.0,13.15,80.48,89.69,Yes
PRJ_110824,Road Construction,Urban,Small,Planning,,1307,611,72.8,10,2,12,1,1,2,11.57,7.46,100.0,65.51,No
PRJ_119768,Industrial,Urban,Small,Planning,100.08,706,702,69.62,5,0,9,0,1,5,2.86,69.75,64.9,67.18,No
PRJ_106549,Commercial,Semi-Urban,Large,Planning,236.54,1065,93,55.21,6,3,3,1,2,3,8.4,89.26,80.37,69.95,No
PRJ_116410,Commercial,Urban,Small,Planning,122.42,294,371,73.53,8,3,8,2,2,4,0.0,22.07,79.63,,Yes
